,index,job_title,company,city,description,technologies,position_level,contract,model_work,exp_date,url
0,0,Machine Learning Engineer (12 months fixed term contract),IG Group,"Kraków, Dębniki","Your responsibilities, Designing, implementation and support of ML/AI/Data solutions as well as internal tools and systems., , Support and Maintenance of the existing solutions., , Supporting the researchers in their daily work and projects....","{Python,SQL,Docker,Kubeflow,Airflow,Prefect,LangChain,PyTorch,Tenforflow}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/machine-learning-engineer-12-months-fixed-term-contract-krakow-kapelanka-42,oferta,1004172890"
1,1,Python Junior Developer,Wrocławski Instytut Zastosowań Informacji Przestrzennej i Sztucznej Inteligencji,"Wrocław, Śródmieście","Twój zakres obowiązków, Szukamy osoby, która posiada dobrą znajomość języka Python (składnia i narzędzia) oraz podstawowe doświadczenie i chce rozwijać swoje umiejętności programistyczne – nie wymagamy kilkuletniego doświadczenia. Jeśli jesteś...",{Python},"{""Młodszy specjalista (Junior)""}","{""Umowa o pracę""}","{""Praca stacjonarna""}",2025-07-17,"https://www.pracuj.pl/praca/python-junior-developer-wroclaw-norwida-9,oferta,1004172803"
2,2,AI Developer,Strive Sp. z o.o.,"Gdańsk, Oliwa","Twój zakres obowiązków, Opracowywanie i wdrażanie modeli AI oraz ich integracje, Prowadzenie dokumentacji technicznej, Dbanie o jakość kodu oraz korzystanie z dobrych praktyk programistycznych, Aktywny udział w spotkaniach oraz proponowanie...","{Python,TensorFlow,PyTorch,Langchain,""Generative AI""}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Kontrakt B2B""}","{""Praca zdalna""}",2025-07-05,"https://www.pracuj.pl/praca/ai-developer-gdansk-aleja-grunwaldzka-472d,oferta,1004148128"
3,3,CI/CD Engineer,B2B.NET S.A.,Gdańsk,"Your responsibilities, Design and build robust CI/CD pipelines from the ground up., Develop Python scripts for automation., Maintain and evolve Snowflake data pipelines., Support data integration using Kafka., Work in a Kubernetes-based...","{Bitbucket,Jenkins,Bamboo,Maven,Ansible,SonarQube,Splunk,Grafana,Python,""Snowflake Data Cloud"",Kafka,Kubernetes}","{""Specjalista (Mid / Regular)""}","{""Kontrakt B2B""}","{""Praca hybrydowa""}",2025-07-06,"https://www.pracuj.pl/praca/ci-cd-engineer-gdansk,oferta,1004150984"
4,4,Assistant Vice President - Data Analytics,HSBC Service Delivery (Polska) Sp. z o.o.,"Kraków, Dębniki","Your responsibilities, The role in the Data Management and Analytics team supports GRADE (Global Risk Analytics Data Environment) platform analytical projects. Our data is pivotal for WCR (Wholesale Credit Risk) model development, validation, and...","{Jira,Confluence,SAS,Python,PySpark,SQL}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-06-27,"https://www.pracuj.pl/praca/assistant-vice-president-data-analytics-krakow-kapelanka-42a,oferta,1004130373"
5,5,Software Engineer with Python (Cloud-based SaaS),Adtran,"Gdynia, Mały Kack","Your responsibilities, Perform or assist in high-level and low-level software design and implementation of new features and enhancements to existing software., Perform or assist in feasibility studies of needed software development., Document the...","{Python,Typescript,pyTest,Selenium,Cypress}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-06-25,"https://www.pracuj.pl/praca/software-engineer-with-python-cloud-based-saas-gdynia-luzycka-8c,oferta,1004123817"
6,6,"Software Engineer (Python, SaaS)",Adtran,"Gdynia, Mały Kack","Your responsibilities, Design and development of the Mosaic One SaaS product., Perform or assist in high-level and low-level software design and implementation of new modules and enhancements to existing software., Perform or assist in feasibility...","{Python,SaaS}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca stacjonarna"",""Praca hybrydowa""}",2025-07-11,"https://www.pracuj.pl/praca/software-engineer-python-saas-gdynia-luzycka-8c,oferta,1004160803"
7,7,Mid Data Scientist / Data Engineer,Transition Technologies–Systems Sp. z o. o.,"Warszawa, Wola","Twój zakres obowiązków, wdrażanie i rozwijanie rozwiązań AI w oparciu o istniejące lub nowe produkty Grupy, wybór narzędzi i technologii AI w zależności od specyfiki danego działu, obszaru, projektu, codzienna współpraca z zespołami programistów i...","{Python,Azure}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę"",""Umowa zlecenie"",""Kontrakt B2B""}","{""Praca zdalna"",""Praca hybrydowa""}",2025-07-02,"https://www.pracuj.pl/praca/mid-data-scientist-data-engineer-warszawa-zubra-1,oferta,1004137886"
8,8,Analityk Biznesowy / obszar BI,Medicover,Warszawa,"Twój zakres obowiązków, Koordynacja cyklicznego raportowania wskaźników KPI, Utrzymanie i rozwój raportów, dashboardów, narzędzi analitycznych i modeli danych, Przygotowywanie prezentacji, analiz ad hoc, materiałów na spotkania biznesowe,...","{""Microsoft Power BI"",SQL,Python}","{""Specjalista (Mid / Regular)""}","{""Umowa o pracę""}","{""Praca hybrydowa""}",2025-07-10,"https://www.pracuj.pl/praca/analityk-biznesowy-obszar-bi-warszawa-aleje-jerozolimskie-96,oferta,1004157753"
9,9,Snowflake Engineer,Sii Sp. z o.o.,"Białystok, Centrum","Twój zakres obowiązków, Projektowanie i implementacja modeli danych w środowisku Snowflake, Budowa i optymalizacja procesów ETL/ELT z wykorzystaniem Snowflake SQL oraz narzędzi takich jak dbt, Airflow, Talend, Analiza i optymalizacja zapytań w...","{Snowflake,Python,ETL,SQL}","{""Specjalista (Mid / Regular)"",""Starszy specjalista (Senior)""}","{""Kontrakt B2B""}","{""Praca stacjonarna"",""Praca zdalna"",""Praca hybrydowa""}",2025-07-17,"https://www.pracuj.pl/praca/snowflake-engineer-bialystok-jozefa-marjanskiego-3,oferta,1004172685"
